ID,X,Y,Z
216,0.59457445,5.7476325,8.291626
217,0.39227307,5.6387014,8.31078
218,-0.23378372,4.83189,8.71179
219,0.20553339,5.4830847,8.5058975
220,0.16124254,5.277192,8.6758795
221,-0.07457618,4.5050955,8.854239
222,-0.43249395,4.816328,8.612434
223,-0.06619683,4.403346,9.0565405
224,0.26299173,4.444046,9.105619
225,0.1839865,4.778023,8.584904
226,0.4724754,4.872589,9.12956
227,0.53831315,4.8953333,9.116393
228,0.5299338,4.275262,9.090057
229,2.039413,2.55989,8.806356
230,3.3046942,-1.6848471,9.451567
231,0.20553339,-0.23761433,9.286373
232,0.3467852,-0.3238019,9.931583
233,0.3048885,-0.30105796,9.947145
234,0.3443911,-0.3142255,9.916022
235,3.1993542,3.5953379,7.7756987
236,0.99798006,3.530697,7.3447604
237,-0.39179426,5.4938583,8.210226
238,0.34678522,5.6925683,8.260503
239,0.42579046,5.682992,8.388586
240,-0.2277985,6.159417,7.192735
241,-0.5893074,6.370098,8.404148
242,0.44254914,5.935569,7.9265265
243,0.24623305,4.7265496,8.979929
244,-0.056620434,4.543401,8.362251
245,0.45212555,4.372223,9.048161
246,0.31805605,4.7289433,8.985914
247,0.110966474,5.5321636,8.365843
248,-0.5474107,5.076088,8.727352
249,0.2091245,4.6068444,8.981127
250,0.109769434,4.289626,8.914091
251,0.42459342,4.153163,9.301935
252,-0.07697028,4.524248,8.453228
253,0.1791983,4.5362186,8.977535
254,1.333154,3.2553759,9.415655
255,-0.47319362,4.6607113,8.610041
256,-0.24455719,5.222128,8.033064
257,0.50479573,5.1299553,8.868604
258,0.20074518,4.567342,9.459947
259,-0.530652,3.919738,9.119985
260,-0.5366372,5.471114,8.467592
261,0.055902205,5.432809,8.748899
262,-0.110487655,5.1359406,9.032599
263,-0.16196078,5.031797,8.636375
264,-0.28166574,5.205369,8.317961
265,-0.32595655,5.058132,9.177443
266,-0.32356244,4.951595,9.100832
267,-0.5390314,4.7229586,8.936836
268,-0.57973105,4.663106,8.534626
269,-0.5246668,4.7169733,8.554977
270,-0.63359827,4.695426,9.181034
271,-0.6731009,4.6846523,8.955989
272,-0.7126035,4.5781155,9.131954
273,-0.6491599,4.521854,8.842269
274,-0.46960247,4.6379676,8.683062
275,-0.4959376,4.768446,8.726154
276,-0.6084602,4.8462543,8.950003
277,-0.5905044,5.1227727,8.736929
278,-0.49713463,5.2700095,8.442454
279,-0.51269627,5.2556453,8.320355
280,-0.6359923,5.393306,8.659121
281,-0.61444545,5.17664,8.835086
282,-0.62641597,5.158684,8.806357
283,-0.4384792,4.982718,8.884165
284,-0.35947394,4.8306923,8.622011
285,-0.28525686,4.764855,8.9428215
286,-1.9491554,5.710524,7.817595
287,-1.766007,5.6782036,7.8894176
288,-5.1668243,3.8060184,6.8934727
289,1.1799316,-0.14424449,7.3579283
290,0.268977,0.085589,9.189413
291,-1.0525656,0.593138,9.85617
292,3.0243456,4.4721766,7.736075
293,1.3846271,2.4764557,8.902599
294,-0.20098457,3.7984767,9.197194
295,-0.22001767,3.9637897,9.414338
296,0.39442775,4.7114663,8.658523
297,0.56680286,5.562689,8.333883
298,0.20720926,6.399186,7.69406
299,0.08211759,7.242627,6.749469
300,0.04081938,7.2809334,6.850858
301,0.0922925,6.801754,7.4698524
302,-0.0774491,6.4493423,7.6334887
303,-0.18446529,6.376323,7.674428
304,0.6710658,5.4134164,8.259305
305,-0.19152789,6.6845627,7.2105713
306,0.13394983,6.95725,7.1502395
307,0.6290494,4.9282527,8.963649
308,-0.16351694,4.907065,9.1198635
309,-0.25030303,5.0365853,8.702455
310,-0.36103007,5.251695,8.95144
311,0.03100358,6.7738633,7.1728644
312,0.1674672,5.3318977,8.848134
313,-0.12999956,5.3596687,8.414324
314,-0.3786267,5.523545,8.492251
315,-0.18709882,5.609853,8.381525
316,-0.3637833,5.7096863,8.172878
317,-0.3757538,5.820533,8.221598
318,-0.39406866,5.8815827,8.137088
319,-0.44422507,5.8374114,8.20053
320,-0.40568003,5.762835,8.239794
321,-0.39909625,5.705497,8.276782
322,-0.39837798,5.683231,8.223394
323,-0.43249387,5.6398983,8.323827
324,-0.4582305,5.623259,8.329811
325,-0.48779768,5.674852,8.259785
326,-0.48660058,5.660846,8.353992
327,-0.57530195,5.6495943,8.27786
328,-0.53747517,5.605303,8.280374
329,-0.39682192,5.3716397,8.40355
330,-2.513564,2.6245306,8.786963
331,3.7856688,-0.3800632,9.544817
332,1.4328682,-0.26191443,9.927394
333,-0.6825575,0.5926591,9.924044
334,-0.67549497,0.58775127,9.902735
335,-0.6790861,0.5909833,9.898185
336,-0.6685521,0.5928985,9.902853
337,-0.33517385,4.7331333,8.991301
338,0.8196198,4.4429684,9.800746
339,0.06727418,5.204531,8.426175
340,0.48097444,5.6822734,8.130503
341,0.025616854,5.8164625,8.052695
342,0.28322187,5.729078,8.316285
343,0.66723526,5.6352296,8.328735
344,0.2589218,5.8376503,8.148699
345,0.261675,5.7768407,8.17216
346,0.33014622,5.720699,8.147022
347,0.36689565,5.711601,8.306709
348,0.09384866,5.814906,8.180659
349,0.2918406,5.5935717,8.510687
350,0.22887583,5.7305145,8.236322
351,0.12114141,5.63128,8.407141
352,-0.2594006,5.8540497,8.146664
353,0.20385751,5.5708284,8.318319
354,0.11419849,5.4656076,8.560722
355,0.046804633,5.547965,8.417077
356,-0.005267024,5.4138956,8.531515
357,0.09803835,5.420359,8.423422
358,0.1696219,5.321842,8.524691
359,0.20613189,5.2813807,8.524453
360,0.19763285,5.266179,8.504341
361,0.2182221,5.274199,8.535345
362,0.34391227,5.190167,8.506975
363,0.37790853,5.2047706,8.568502
364,0.32679445,5.291916,8.550908
365,0.32559744,5.246907,8.6558895
366,0.24599361,5.1845407,8.632785
367,0.31015548,5.230148,8.567187
368,0.2772366,5.297662,8.550188
369,0.21546891,5.4264646,8.436349
370,0.21463099,5.569032,8.341065
371,0.23210791,5.568554,8.317123
372,0.29567122,5.547605,8.333284
373,0.25832328,5.5491624,8.441736
374,0.27364546,5.593453,8.376138
375,0.24874684,5.522348,8.353035
376,0.18075445,5.4349627,8.498716
377,0.26107648,5.393426,8.463642
378,0.2787928,5.3874407,8.425817
379,0.30608553,5.39977,8.500751
380,0.26143557,5.37547,8.447363
381,0.3053673,5.3473387,8.529481
382,0.07960379,5.349135,8.159232
383,-0.66783386,5.106493,8.8219185
384,-0.3408,5.090931,8.472261
385,-0.4069968,5.1998625,8.56599
386,-0.36917007,5.2548075,8.55785
387,-0.37551442,5.2724037,8.570539
388,-0.30500817,5.2277536,8.579875
389,-0.23055172,5.2362533,8.476689
390,-0.32080925,5.171373,8.553182
391,-0.5990036,5.1821465,8.53678
392,-0.64987814,5.1457562,8.441377
393,-1.1318101,5.2753954,8.526129
394,0.33014625,4.4460807,8.178506
395,3.0712698,1.9698645,10.14047
396,2.01224,-0.30560672,9.807689
397,0.942437,-0.26981494,9.935295
398,-0.09145458,0.07014707,9.910993
399,-0.17788155,0.10749501,9.939365
400,-0.18015593,0.101390064,9.936012
401,-0.19966784,0.10881176,9.935055
402,-0.18362737,0.11635318,9.943792
403,-0.19200674,0.11336056,9.933022
404,-0.1963161,0.10713589,9.943913
405,-0.20529397,0.11108617,9.932423
406,-0.19284464,0.11072705,9.938887
407,-0.19739345,0.11060734,9.933619
408,-0.20325896,0.1139591,9.940681
409,-0.20661072,0.11024823,9.93338
410,-0.19918902,0.11024823,9.934097
411,-0.20002694,0.11120586,9.937689
412,-0.20026636,0.11575464,9.932302
413,-0.20649102,0.11659257,9.931704
414,-0.21163833,0.117071405,9.935654
415,-0.19583729,0.12114136,9.938288
416,-0.19823137,0.11455761,9.937928
417,-0.20409691,0.120782256,9.931704
418,-0.21163833,0.12293694,9.938288
419,-0.20984276,0.124014296,9.940321
420,-0.2009846,0.116592586,9.938646
421,-0.20553336,0.12293694,9.94499
422,-0.2039772,0.11611376,9.942717
423,-0.20337868,0.11635317,9.942477
424,-0.19116879,0.11743052,9.932541
425,-0.20086488,0.11766992,9.936731
426,-0.21223685,0.11743052,9.938885
427,-0.21666594,0.11898668,9.93781
428,-0.21295507,0.11874727,9.93709
429,-0.22109501,0.1195852,9.935294
430,-0.21726446,0.118507884,9.936972
431,-0.20541367,0.12305665,9.935773
432,-0.20972307,0.12449311,9.943197
433,-0.2060122,0.110966444,9.936254
434,-0.21702507,0.124134004,9.936731
435,-0.21175805,0.1193458,9.929549
436,-0.20433632,0.12461281,9.941637
437,-0.20577279,0.12269755,9.938646
438,-0.20804718,0.12329607,9.935774
439,-0.21858124,0.118148744,9.932423
440,-0.20744868,0.12281723,9.935534
441,-0.20708954,0.12317636,9.936491
442,-0.19966784,0.11563494,9.9368515
443,-0.21115951,0.11491673,9.936253
444,-0.22097532,0.12245812,9.933977
445,-0.20397723,0.12233843,9.929428
446,-0.20301957,0.120901965,9.940921
447,-0.21235654,0.11850788,9.937449
448,-0.21020186,0.12365518,9.935414
449,-0.20732895,0.12580986,9.931943
450,-0.20313928,0.12257783,9.935655
451,-0.20732896,0.12509164,9.932181
452,-0.20792747,0.120064035,9.930627
453,-0.20792747,0.11898669,9.932302
454,-0.20529397,0.11838814,9.9303875
455,-0.20864573,0.12018374,9.940322
456,-0.2112792,0.12245812,9.934337
457,-0.20050576,0.12138077,9.9323015
458,-0.21367331,0.12042314,9.93709
459,-0.21223685,0.12245812,9.937689
460,-0.20242104,0.11922608,9.93661
461,-0.21834183,0.12138078,9.9393635
462,-0.21259597,0.11826847,9.938167
463,-0.22205266,0.12449312,9.930865
464,-0.20146342,0.11563494,9.940203
465,-0.21235657,0.120782256,9.936251
466,-0.19978754,0.12269753,9.94164
467,-0.2063713,0.12030344,9.933141
468,-0.21175805,0.120064035,9.93721
469,-0.20373778,0.12293695,9.934697
470,-0.20385751,0.12257783,9.936252
471,-0.20744865,0.120782256,9.93733
472,-0.19990721,0.12185961,9.939245
473,-0.21499006,0.12604927,9.9419985
474,-0.21355362,0.12592956,9.9419985
475,-0.21463096,0.12281724,9.939844
476,-0.22001767,0.12509164,9.937449
477,-0.20720926,0.120901965,9.936252
478,-0.20517425,0.12413399,9.942596
479,-0.21714476,0.12066255,9.930745
480,-0.2159477,0.119585216,9.941639
481,-0.20613189,0.12521134,9.9414
482,-0.21211715,0.123056665,9.941041
483,-0.20397723,0.12018374,9.936493
484,-0.20373781,0.12162019,9.935893
485,-0.2153492,0.118148744,9.935892
486,-0.20780778,0.121021666,9.932781
487,-0.20696983,0.11874728,9.939005
488,-0.21463096,0.12185959,9.937809
489,-0.20661072,0.122338414,9.938169
490,-0.21355362,0.12018372,9.937927
491,-0.21175805,0.11647286,9.938646
492,-0.210561,0.12114139,9.939604
493,-0.20996246,0.11826847,9.943554
494,-0.21115951,0.11527584,9.943435
495,-0.20924425,0.12066255,9.935294
496,-0.20397723,0.120064035,9.936972
497,-0.21020186,0.12389459,9.939005
498,-0.21463092,0.1244931,9.937809
499,-0.20864573,0.12341577,9.935773
500,-0.20900483,0.122099005,9.934937
501,-0.20912452,0.12592956,9.933858
502,-0.54369986,6.63716,7.691306
503,-0.45954722,6.624112,8.89841
504,-0.7546199,6.514103,7.506841
505,-1.098293,6.3837442,6.970443
506,-0.048121404,2.7918782,10.671002
507,0.35911483,2.8927896,9.638785
508,0.04261499,6.0091877,7.2257743
509,-0.017117815,7.5919275,6.610611
510,-0.4383595,7.7009773,6.4919825
511,-1.366312,5.678683,7.760257
512,0.3206895,3.3060107,9.52734
513,0.58739215,5.234936,8.236681
514,0.53412354,6.232917,7.885707
515,0.6778891,6.3654294,7.728774
516,0.7972349,6.2554207,7.769114
517,0.7979532,6.2774463,7.812926
518,0.72265875,6.2084966,7.793654
519,0.6376682,6.161812,7.8343534
520,1.4289179,6.1235056,8.107281
521,0.80645216,6.1725855,7.894206
522,0.84954596,6.039713,8.15636
523,1.3032277,6.0600624,8.30599
524,0.7334322,6.297078,7.839142
525,0.45033002,6.3234134,7.702559
526,0.8685789,6.1570234,7.6749067
527,1.0093521,6.016011,8.427252
528,0.33888465,5.7120805,8.084656
529,0.24336013,5.4860764,8.396248
530,0.2617947,5.8876877,8.3035965
531,0.27137113,5.807485,8.139601
532,0.20433633,5.5537105,8.29402
533,0.14687794,5.592016,8.3431
534,0.06906975,5.669824,8.283247
535,0.08941959,5.7105236,7.8786445
536,0.29172093,5.6506715,8.128827
537,0.08965899,5.682393,8.315088
538,0.19104908,5.6388216,8.304434
539,0.19559786,5.5716667,8.361893
540,0.19523875,5.535634,8.397804
541,0.2182221,5.465728,8.409776
542,0.24778922,5.4365196,8.451074
543,0.3272733,5.2154245,8.632667
544,0.29722738,5.16455,8.584305
545,0.30572644,5.1509027,8.602859
546,0.26299173,5.157487,8.45203
547,0.18518354,5.0653143,8.516671
548,0.2617947,5.0940437,8.714184
549,0.34319407,5.0701027,8.637573
550,0.40544063,5.0294027,8.624406
551,0.31446487,5.0461617,8.847057
552,0.33565265,5.072736,8.638411
553,0.30381113,5.122054,8.672888
554,0.3300265,5.1050572,8.733576
555,0.3973007,5.0985928,8.584663
556,0.4511679,5.0768065,8.661754
557,0.36653653,5.105536,8.673006
558,0.28705242,5.296943,8.583109
559,0.14161095,5.5953684,8.310419
560,0.17776182,5.8287916,8.198974
561,0.14663856,5.929224,8.141994
562,0.17919828,5.9841695,8.060236
563,4.788205E-4,5.9222813,8.132898
564,-0.034235615,5.4375963,8.881891
565,-0.17836036,5.5741796,8.31892
566,0.1995482,3.6547115,8.59843
567,0.38102078,4.835361,8.477407
568,0.5593811,6.0283403,8.190475
569,2.358786,7.778665,6.913224
570,0.94734496,7.6790724,6.6788416
571,0.6041507,7.7948265,6.824643
572,1.0766262,8.224687,5.660033
573,1.735482,8.60104,5.1362042
574,0.5340038,9.3304,4.145766
575,1.1588635,9.146894,4.067359
576,1.8003622,7.1752343,7.098886
577,0.5767385,8.808728,5.4154763
578,1.31041,8.515092,4.9731665
579,1.106672,8.688543,4.8728538
580,1.0465803,8.607025,5.4047027
581,0.87205046,8.751747,5.488736
582,0.6952464,8.7843075,4.885542
583,0.5348416,8.907125,4.8437653
584,1.1597015,8.798912,5.026195
585,1.5227664,8.791849,4.9239674
586,1.0646557,9.138515,4.2447615
587,0.80250186,9.095541,4.692099
588,0.97248286,8.990679,4.6071086
589,1.0650148,8.938009,4.548812
590,1.0487349,8.969729,4.623029
591,1.1078691,8.894316,4.7375875
592,0.099594496,9.245052,4.950782
593,-0.911553,8.66185,6.4565506
594,-0.2333049,8.110609,5.7967362
595,-0.59948236,8.120783,6.1041384
596,-0.56153584,8.135866,5.9482827
597,-0.4893539,8.100672,6.08702
598,-0.51137954,8.177643,5.94529
599,-0.4334516,8.140535,5.881129
600,-0.46122313,8.199309,5.9529514
601,-0.30668408,8.116354,6.0087337
602,-0.35887545,8.106539,6.0718184
603,-0.14292769,8.057818,6.1813483
604,-0.36474097,8.268378,5.8246274
605,-0.33230084,8.239411,5.84007
606,-0.29818502,8.274485,5.8593416
607,-0.29243916,8.225764,5.9097376
608,-0.31961218,8.246593,5.8994427
609,-0.24491632,8.17848,5.6225657
610,-0.09325015,8.155856,5.9845533
611,-0.4189673,8.217983,6.0493135
612,-0.01568135,8.065001,6.0623617
613,0.22815764,7.8884354,6.042371
614,0.05841601,7.91884,6.2653813
615,-0.0058655576,7.9572654,6.143522
616,-0.13095723,8.007183,6.2289906
617,-0.09504571,7.9558296,6.1212564
618,-0.20505457,7.994853,6.025732
619,-0.28968593,7.988509,6.144479
620,-0.18075447,7.9622946,6.2166615
621,-0.086067855,7.935959,6.2480245
622,-0.26766026,7.970313,6.2312646
623,-0.22181325,7.994494,6.13622
624,-0.20816688,7.9704347,6.2377286
625,-0.27759576,7.9663644,6.1456766
626,-0.2766381,7.9625335,6.208522
627,-0.3871258,7.992579,6.3228393
628,0.022743944,7.8753877,6.2189355
629,-0.3801829,7.848694,6.4511633
630,-2.566474,3.8196647,9.655305
631,-1.242657,4.712185,8.669294
632,0.41142583,5.5610123,8.252242
633,0.3715641,5.2260776,8.614111
634,0.34103936,5.259955,8.451551
635,-0.13861832,4.9305267,8.511523
636,-0.33194178,4.724395,8.921514
637,-0.73247457,4.825545,8.759672
638,0.49055082,4.749054,9.186062
639,-1.2658796,4.034535,8.330889
640,-0.61360747,4.040641,9.139735
641,-0.65203285,4.1682453,9.117591
642,-0.44865417,4.022565,9.179478
643,-0.42674813,3.988449,9.210602
644,-0.3958642,3.8990293,9.2388525
645,-0.4771439,3.8852627,9.169063
646,-0.3903578,3.8935227,9.090056
647,-0.509943,3.8713772,9.228079
648,-0.12509166,3.9161472,9.632441
649,-2.5470815,5.8849344,7.697052
650,-0.8093251,4.169323,9.160803
651,-0.17213568,3.9737248,9.285177
652,0.31434512,4.532508,8.938032
653,0.3794647,4.8490076,8.796422
654,-3.4434319,6.363993,6.763114
655,-1.0935047,4.8767786,8.762785
656,-0.32954767,5.0387397,8.59065
657,0.5932576,5.388877,8.268164
658,-0.60067946,2.9032035,9.4320545
659,-0.50527453,2.8659756,9.765674
660,0.3166196,2.5185916,10.004484
661,-1.7061542,2.659245,9.451926
662,-0.8822254,3.353414,9.53165
663,1.1259446,5.3199267,8.358183
664,1.163532,6.707906,5.9044704
665,0.9558439,2.4723854,9.909558
666,-0.15250409,2.7028174,9.153979
667,-1.6913111,3.588634,8.662592
668,-1.6557589,3.3249245,9.665361
669,0.23438224,3.417935,9.138538
670,-1.619129,3.4944267,9.412663
671,-0.34127882,3.473119,9.647524
672,0.5302928,3.4240403,9.372801
673,0.49964842,3.738505,9.313068
674,0.16196077,4.105281,9.204495
675,0.24312074,4.072721,9.184385
676,0.4806153,3.832952,9.362147
677,0.5264623,3.8212209,9.208205
678,0.54118603,3.8432465,9.246512
679,0.45152703,3.9175835,9.33294
680,0.37419766,3.9827027,9.24735
681,-0.38197845,4.602295,8.87399
682,-0.2705331,5.0226994,8.631229
683,-0.056740142,4.979007,8.6823435
684,-1.4345441,5.007257,8.361533
685,-0.8046566,4.261855,9.10945
686,-0.48767796,4.3025546,8.969874
687,0.051114004,4.194341,9.041937
688,-0.045727286,4.3917346,9.0484
689,-2.3015666,5.737338,8.061434
690,-1.9470009,5.4860773,8.137087
691,0.532687,4.4100494,8.9466505
692,0.34882015,4.5827837,8.906071
693,-2.9972918,5.082312,8.370991
694,0.8831831,3.8664696,9.449652
695,0.033397675,6.160135,7.5634623
696,1.4721313,2.9531207,9.211319
697,-0.5264624,2.4381502,9.533804
698,-1.0154569,2.116503,9.477782
699,-0.9569212,2.9247508,9.155897
700,-0.6392244,0.81411314,10.458525
701,0.0897787,1.9971573,9.557625
702,-0.29782587,3.1087368,9.4514475
703,-0.49677548,3.5332108,9.354007
704,-4.2131352,6.334187,6.481688
705,-4.235161,6.2570963,6.507304
706,-3.8584495,5.513011,8.458015
707,-5.128518,6.238423,5.586295
708,1.2553456,2.526373,9.250462
709,-1.5708878,4.810343,10.099171
710,-5.638462,6.464665,5.3600526
711,-5.6252937,6.462271,4.706464
712,0.4341698,3.1033504,8.807554
713,-0.1308375,3.6635695,8.8135395
714,-0.3295477,3.9927583,8.917683
715,-0.39418837,4.4117255,9.124773
716,-0.09612307,4.108872,8.823116
717,0.04153761,4.13808,8.8723135
718,-1.4006674,5.332975,8.375658
719,-3.1152015,6.82378,6.6484365
720,-3.1450076,6.8429327,6.649275
721,-3.5292606,6.870465,6.340436
722,-2.738011,6.505365,7.3028636
